date,bitcoin_unscaled,bitcoin_monthly,isPartial,scale,bitcoin
2015-01-01,56,43,False,0.43,24.08
2015-01-02,48,36,False,0.36,17.28
2015-01-03,52,39,False,0.39,20.28
2015-01-04,67,51,False,0.51,34.17
2015-01-05,75,57,False,0.57,42.74999999999999
2015-01-06,68,52,False,0.52,35.36
2015-01-07,54,41,False,0.41,22.139999999999997
2015-01-08,63,48,False,0.48,30.24
2015-01-09,58,44,False,0.44,25.52
2015-01-10,58,45,False,0.45,26.1
2015-01-11,52,39,False,0.39,20.28
2015-01-12,53,40,False,0.4,21.200000000000003
2015-01-13,60,46,False,0.46,27.6
2015-01-14,100,76,False,0.76,76.0
2015-01-15,92,70,False,0.7,64.39999999999999
2015-01-16,80,61,False,0.61,48.8
2015-01-17,60,46,False,0.46,27.6
2015-01-18,54,41,False,0.41,22.139999999999997
2015-01-19,55,42,False,0.42,23.099999999999998
2015-01-20,51,39,False,0.39,19.89
2015-01-21,55,42,False,0.42,23.099999999999998
2015-01-22,55,42,False,0.42,23.099999999999998
2015-01-23,56,43,False,0.43,24.08
2015-01-24,54,41,False,0.41,22.139999999999997
2015-01-25,53,40,False,0.4,21.200000000000003
2015-01-26,93,71,False,0.71,66.03
2015-01-27,70,54,False,0.54,37.800000000000004
2015-01-28,65,49,False,0.49,31.849999999999998
2015-01-29,56,43,False,0.43,24.08
2015-01-30,53,40,False,0.4,21.200000000000003
2015-01-31,47,36,False,0.36,16.919999999999998
2015-02-01,38,38,False,0.38,14.44
2015-02-02,28,28,False,0.28,7.840000000000001
2015-02-03,39,39,False,0.39,15.21
2015-02-04,36,36,False,0.36,12.959999999999999
2015-02-05,39,39,False,0.39,15.21
2015-02-06,43,43,False,0.43,18.49
2015-02-07,63,63,False,0.63,39.69
2015-02-08,40,40,False,0.4,16.0
2015-02-09,43,43,False,0.43,18.49
2015-02-10,42,42,False,0.42,17.64
2015-02-11,38,38,False,0.38,14.44
2015-02-12,38,38,False,0.38,14.44
2015-02-13,41,41,False,0.41,16.81
2015-02-14,39,39,False,0.39,15.21
2015-02-15,31,31,False,0.31,9.61
2015-02-16,36,36,False,0.36,12.959999999999999
2015-02-17,42,42,False,0.42,17.64
2015-02-18,38,38,False,0.38,14.44
2015-02-19,51,51,False,0.51,26.01
2015-02-20,100,100,False,1.0,100.0
2015-02-21,48,48,False,0.48,23.04
2015-02-22,46,46,False,0.46,21.16
2015-02-23,40,40,False,0.4,16.0
2015-02-24,39,39,False,0.39,15.21
2015-02-25,37,37,False,0.37,13.69
2015-02-26,31,31,False,0.31,9.61
2015-02-27,42,42,False,0.42,17.64
2015-02-28,31,31,False,0.31,9.61
